country,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,area,PCA_component1,PCA_component2
Portugal,37.982,-8.814,361.2,1.1,1,2020-02-18,02:40,A,100,6.0NRT,282.3,101.7,N,1.1,1.7440146799654908,6.5817384828716605
Ukraine,49.071,32.708,354.2,1,1,2020-02-18,08:45,T,97,6.0NRT,278.8,79.3,D,1.0,2.6164983778276953,5.217523282800179
Ukraine,49.069,32.722,323,1,1,2020-02-18,08:45,T,82,6.0NRT,276.2,24.6,D,1.0,1.9941621455121852,3.2532564487460016
Ukraine,49.073,32.694,326.2,1,1,2020-02-18,08:45,T,68,6.0NRT,277.9,26.8,D,1.0,2.0123273301257965,3.516693175555438
Turkey,41.256,31.416,300.2,1,1,2020-02-18,08:50,T,0,6.0NRT,286.1,4.8,D,1.0,1.116376356006914,3.150132930016493
Greece,39.368,26.199,301.6,1.4,1.2,2020-02-18,08:50,T,0,6.0NRT,286.6,9.6,D,1.68,2.154710870415636,3.0506625081018592
Turkey,38.666,31.125,320.7,1,1,2020-02-18,08:50,T,61,6.0NRT,283.3,20.5,D,1.0,1.4046688262444142,4.083559186454386
Turkey,37.37,32.55,302.4,1.1,1,2020-02-18,08:50,T,35,6.0NRT,283.3,6.5,D,1.1,1.2036102592087123,3.2250978994685804
Turkey,41.043,34.216,314,1.1,1,2020-02-18,08:50,T,74,6.0NRT,285.9,16.1,D,1.1,1.510126835090085,3.784582086396747
Romania,44.398,25.41,305.2,1.9,1.3,2020-02-18,08:50,T,61,6.0NRT,282.1,18.1,D,2.4699999999999998,3.4327956775421997,2.4787090307409514
Romania,44.396,25.433,324.9,1.8,1.3,2020-02-18,08:50,T,83,6.0NRT,283.4,59.1,D,2.3400000000000003,3.7496654760018355,3.789621397683942
Turkey,41.041,34.229,306.1,1.1,1,2020-02-18,08:50,T,59,6.0NRT,283.5,10,D,1.1,1.4268892602554946,3.245142323863855
Turkey,40.504,33.601,303.7,1.1,1,2020-02-18,08:50,T,57,6.0NRT,287.5,6.7,D,1.1,1.2732157212302688,3.403460368082142
Turkey,40.413,33.303,303.5,1,1,2020-02-18,08:50,T,50,6.0NRT,286.9,5.5,D,1.0,1.1496404778928593,3.382815581500006
Turkey,39.807,30.961,302.8,1,1,2020-02-18,08:50,T,54,6.0NRT,284.3,6.8,D,1.0,1.1323023712009883,3.228459034016135
Italy,45.423,11.147,309.4,1.1,1,2020-02-18,10:25,T,69,6.0NRT,284.9,10.7,D,1.1,1.1671359851073424,3.281818573701718
Germany,51.478,6.714,309.1,1.2,1.1,2020-02-18,10:25,T,0,6.0NRT,279.9,13.5,D,1.32,1.8770798087141223,2.552092666029389
Italy,42.36,13.983,300.9,1.6,1.3,2020-02-18,10:25,T,42,6.0NRT,289.2,7.1,D,2.08,2.5412458047276156,2.8556062142204057
France,43.447,4.904,303.8,1.1,1.1,2020-02-18,10:25,T,43,6.0NRT,287.3,8.1,D,1.2100000000000002,1.2030470939746727,3.187023976452203
Italy,45.421,11.161,303.8,1.1,1,2020-02-18,10:25,T,57,6.0NRT,285.1,6.7,D,1.1,1.0738525575106515,3.026666710129188
Italy,45.15,10.395,300.3,1,1,2020-02-18,10:25,T,29,6.0NRT,284,3.7,D,1.0,0.8947632791255682,2.829700360334526
Italy,42.359,13.988,301.6,1.6,1.3,2020-02-18,10:25,T,48,6.0NRT,289,8.4,D,2.08,2.5605561524655425,2.8835131611022495
Ukraine,45.503,29.443,343.5,1.9,1.3,2020-02-18,10:30,A,88,6.0NRT,287.8,123.6,D,2.4699999999999998,4.457173546776862,5.327505053122586
Ukraine,45.487,29.425,305.3,1.9,1.3,2020-02-18,10:30,A,58,6.0NRT,284.8,17.6,D,2.4699999999999998,3.4832309202725,2.5743822774865466
Romania,44.839,29.504,301.1,1.9,1.4,2020-02-18,10:30,A,34,6.0NRT,281.1,16.8,D,2.6599999999999997,3.8259442980515934,2.0827719465591406
Turkey,38.663,31.208,320.5,2.3,1.5,2020-02-18,10:30,A,0,6.0NRT,285.5,65.3,D,3.4499999999999997,4.8654540028975095,3.680853694220522
Turkey,37.677,31.797,314.4,2.2,1.4,2020-02-18,10:30,A,75,6.0NRT,288.3,41.6,D,3.08,4.119844740891193,3.572095280390049
Algeria,35.812,-0.261,308.2,1.6,1.3,2020-02-18,10:30,T,46,6.0NRT,281.2,15.5,D,2.08,2.3277282546231257,3.045176666675766
Algeria,35.345,5.764,306.4,1,1,2020-02-18,10:30,T,55,6.0NRT,295.5,4,D,1.0,0.3134331888863222,4.310883000935474
Ukraine,48.917,33.484,307.4,1.1,1,2020-02-18,10:30,A,65,6.0NRT,274.8,12.8,D,1.1,1.8826683703544067,2.3579792707893743
Ukraine,47.013,32.108,332.7,1.3,1.1,2020-02-18,10:30,A,83,6.0NRT,281,49.4,D,1.4300000000000002,2.759361211789447,4.073489840185462
Ukraine,47.016,32.124,349.3,1.3,1.1,2020-02-18,10:30,A,96,6.0NRT,281.3,90.6,D,1.4300000000000002,3.175803761362179,5.159516519622715
Romania,45.018,23.859,304.4,3.8,1.8,2020-02-18,10:30,A,59,6.0NRT,284.5,48,D,6.84,7.499807910656668,1.700323714941532
Romania,45.604,26.952,302,2.5,1.5,2020-02-18,10:30,A,50,6.0NRT,285.2,18.7,D,3.75,4.80395979770914,2.0738063639704434
Romania,45.61,26.956,300.6,2.5,1.5,2020-02-18,10:30,A,39,6.0NRT,285,16.8,D,3.75,4.780843172940568,1.985051696740867
Ukraine,45.899,29.684,313.4,1.8,1.3,2020-02-18,10:30,A,74,6.0NRT,279.6,31.3,D,2.3400000000000003,3.6558992110725796,2.7089019421818765
Ukraine,45.52,29.461,335.2,1.9,1.3,2020-02-18,10:30,A,68,6.0NRT,283.6,90.2,D,2.4699999999999998,4.258919888671717,4.400618717722878
Ukraine,45.509,29.466,388.6,1.9,1.3,2020-02-18,10:30,A,100,6.0NRT,290.5,479.5,D,2.4699999999999998,6.848640322086256,10.65698137168917
Greece,40.518,21.2,306.6,1.8,1.3,2020-02-18,12:05,A,64,6.0NRT,294.8,11,D,2.3400000000000003,2.8165787119752577,3.4822088006604064
Bulgaria,42.331,25.782,310.9,3.5,1.8,2020-02-18,12:05,A,71,6.0NRT,291.2,54.4,D,6.3,7.062966035644406,2.669809339163646
North Macedonia,41.959,20.872,303.6,1.8,1.3,2020-02-18,12:05,A,40,6.0NRT,289,10.1,D,2.3400000000000003,2.931065541723057,2.902502847298793
North Macedonia,41.953,20.881,301.6,1.8,1.3,2020-02-18,12:05,A,23,6.0NRT,289.5,8.1,D,2.3400000000000003,2.8864667249079745,2.8343419256898703
Italy,40.975,15.71,303.6,1,1,2020-02-18,12:05,A,57,6.0NRT,290.7,5.1,D,1.0,0.7527387822717206,3.5866368952564596
North Macedonia,41.231,21.196,315.8,1.8,1.3,2020-02-18,12:05,A,76,6.0NRT,291.1,31.2,D,2.3400000000000003,3.1321327630523284,3.7731079577076576
North Macedonia,41.233,21.218,308.7,1.8,1.3,2020-02-18,12:05,A,67,6.0NRT,290.4,17.8,D,2.3400000000000003,2.987942312309647,3.3100845456110575
Albania,40.621,20.329,303.4,1.6,1.2,2020-02-18,12:05,A,46,6.0NRT,291.2,11,D,1.92,2.248713461837273,3.277305953568344
Greece,40.917,24.86,309.2,3,1.6,2020-02-18,12:05,A,52,6.0NRT,288.2,39.2,D,4.800000000000001,5.6635822111218435,2.6975215241248494
Albania,40.274,19.911,304.7,1.5,1.2,2020-02-18,12:05,A,49,6.0NRT,292.5,9.6,D,1.7999999999999998,2.0949189107965487,3.453338784352165
Italy,38.96,16.697,302.8,1.1,1,2020-02-18,12:05,A,41,6.0NRT,292.1,4.7,D,1.1,0.7772108954494823,3.7032970124269013
Italy,37.741,12.901,305,1.1,1,2020-02-18,12:05,A,60,6.0NRT,292.6,5.5,D,1.1,0.6849403793406637,3.8981002283239565
Italy,38.105,15.796,305,1,1,2020-02-18,12:05,A,60,6.0NRT,291.5,6.3,D,1.0,0.6591829324970504,3.8451300380966544
Italy,38.097,15.803,312,1,1,2020-02-18,12:05,A,72,6.0NRT,293.2,10.6,D,1.0,0.7351479878890277,4.285468123936601
Italy,42.512,12.154,303.9,1,1,2020-02-18,12:10,A,58,6.0NRT,292.8,5,D,1.0,0.70537094151665,3.665744102650335
Bosnia and Herzegovina,43.232,18.214,301.7,1.3,1.1,2020-02-18,12:10,A,48,6.0NRT,287.6,6.9,D,1.4300000000000002,1.6269829410101073,3.0101718591225746
Bulgaria,43.498,22.927,300.7,2.4,1.5,2020-02-18,12:10,A,41,6.0NRT,285,16.6,D,3.5999999999999996,4.503063368290289,2.1051412108377647
Bosnia and Herzegovina,43.101,18.326,301.4,1.3,1.1,2020-02-18,12:10,A,45,6.0NRT,289.3,6,D,1.4300000000000002,1.5836280376958967,3.106638919004684
Bosnia and Herzegovina,43.034,18.466,303.7,1.4,1.2,2020-02-18,12:10,A,57,6.0NRT,291.5,7.3,D,1.68,2.0444205495923398,3.22737478444202
Bosnia and Herzegovina,43.035,18.482,302.9,1.4,1.2,2020-02-18,12:10,A,54,6.0NRT,290.5,7,D,1.68,2.052353803806066,3.126150691127775
Montenegro,43.039,18.842,301.9,1.4,1.2,2020-02-18,12:10,A,31,6.0NRT,286.9,9.1,D,1.68,2.1263691742032207,2.8683426674929944
Montenegro,43.035,18.848,301.4,1.4,1.2,2020-02-18,12:10,A,34,6.0NRT,287.2,9.6,D,1.68,2.117191903637433,2.8720958978563687
Bulgaria,43.445,25.409,302,3.4,1.7,2020-02-18,12:10,A,50,6.0NRT,290,20.7,D,5.779999999999999,6.363345186004597,1.991322299594964
Montenegro,42.907,19.147,306,1.5,1.2,2020-02-18,12:10,A,51,6.0NRT,292,13.6,D,1.7999999999999998,2.221851936418639,3.3852647613937514
Montenegro,42.909,19.162,301.6,1.5,1.2,2020-02-18,12:10,A,26,6.0NRT,285.9,9.4,D,1.7999999999999998,2.2618465049052303,2.76602840255498
Bulgaria,43.19,24.382,304.3,2.9,1.6,2020-02-18,12:10,A,58,6.0NRT,289.6,24.4,D,4.64,5.453759486527856,2.3736183186279445
Bulgaria,43.189,24.39,305.1,2.9,1.6,2020-02-18,12:10,A,61,6.0NRT,289.4,26.9,D,4.64,5.480722929061497,2.416746200868385
Bulgaria,43.082,24.326,307.4,2.9,1.6,2020-02-18,12:10,A,64,6.0NRT,287.8,30.4,D,4.64,5.552738203344373,2.4447894670498465
Bulgaria,43.084,24.361,326.3,2.9,1.6,2020-02-18,12:10,A,84,6.0NRT,287.7,111.4,D,4.64,6.216654827892587,3.967680218919565
Montenegro,42.652,18.612,301.1,1.4,1.2,2020-02-18,12:10,A,31,6.0NRT,289.2,5.7,D,1.68,2.0367074723686214,2.9729972629982315
Bulgaria,43.069,24.361,304.3,2.9,1.6,2020-02-18,12:10,A,28,6.0NRT,287.7,22.1,D,4.64,5.472834998999124,2.23404171187125
Montenegro,42.656,18.6,300.4,1.4,1.2,2020-02-18,12:10,A,28,6.0NRT,287.6,6.3,D,1.68,2.0616189775018032,2.844920780196448
Bulgaria,43.082,24.33,312.5,2.9,1.6,2020-02-18,12:10,A,73,6.0NRT,288.1,49,D,4.64,5.708261130952231,2.8470112008693143
Bulgaria,43.084,24.366,322.7,2.9,1.6,2020-02-18,12:10,A,82,6.0NRT,287.6,93.8,D,4.64,6.081144285895324,3.649716565225428
Montenegro,42.687,19.707,304.3,1.6,1.2,2020-02-18,12:10,A,47,6.0NRT,287.4,15.2,D,1.92,2.4166064056006635,3.0058985614065277
Montenegro,42.598,19.263,301.8,1.5,1.2,2020-02-18,12:10,A,49,6.0NRT,291.3,7.2,D,1.7999999999999998,2.140810680383973,3.1215028592304597
Italy,41.763,13.064,309.5,1,1,2020-02-18,12:10,A,69,6.0NRT,290.4,9.1,D,1.0,0.8308862289781853,3.8127070133865772
Bulgaria,42.326,25.774,309.8,3.5,1.8,2020-02-18,12:10,A,52,6.0NRT,290.9,49.1,D,6.3,7.026220212984463,2.5549080191663136
Italy,42.51,12.142,307.7,1,1,2020-02-18,12:10,A,66,6.0NRT,291.6,7.4,D,1.0,0.7870237978167205,3.7666065888676634
Romania,43.868,25.697,302.2,3.6,1.8,2020-02-18,12:10,A,45,6.0NRT,288.1,28,D,6.48,7.045894088563218,1.7561165577824698
Bosnia and Herzegovina,43.609,17.09,337,1.2,1.1,2020-02-18,12:10,A,90,6.0NRT,288.4,51.8,D,1.32,2.1571802773184787,4.95235634325634
Bosnia and Herzegovina,43.607,17.075,300.8,1.2,1.1,2020-02-18,12:10,A,42,6.0NRT,285.6,5.8,D,1.32,1.5232382727507026,2.848972637009551
Romania,44.394,23.487,301.9,2.7,1.6,2020-02-18,12:10,A,50,6.0NRT,286.1,18.8,D,4.32,5.25324775600794,2.0039270749141287
Romania,44.401,23.513,301,2.7,1.6,2020-02-18,12:10,A,43,6.0NRT,285.9,16.3,D,4.32,5.2334938653997645,1.9301981696347652
Romania,44.589,23.765,301.5,2.8,1.6,2020-02-18,12:10,A,47,6.0NRT,287.5,16.9,D,4.4799999999999995,5.341224030020237,2.0184439678331145
Romania,45.054,23.47,308.3,2.7,1.6,2020-02-18,12:10,A,67,6.0NRT,285,36.1,D,4.32,5.467708081348567,2.3247851961881665
Italy,45.42,11.16,300.1,1,1,2020-02-18,12:10,A,28,6.0NRT,286.6,3.9,D,1.0,0.8572077560536844,2.9557289875011694
Italy,45.418,11.147,308,1,1,2020-02-18,12:10,A,66,6.0NRT,285.9,9,D,1.0,0.9937973983592486,3.2835768149099653
Italy,45.48,10.208,324.1,1.1,1,2020-02-18,12:10,A,63,6.0NRT,285.9,24.1,D,1.1,1.373030751693418,4.053474841008677
Italy,45.716,11.384,300.4,1,1,2020-02-18,12:10,A,36,6.0NRT,287.9,3.3,D,1.0,0.8478215523235768,3.0330105911577814
Poland,51.176,16.111,305.9,1.4,1.2,2020-02-18,12:10,A,62,6.0NRT,282.6,14.7,D,1.68,2.529515217064178,2.4187231077096336
Algeria,35.803,-0.253,307.1,2.5,1.5,2020-02-18,13:45,A,47,6.0NRT,290.3,18.3,D,3.75,3.8927691948672423,3.079230575498709
Portugal,37.99,-8.823,305.6,2.4,1.5,2020-02-18,23:10,T,65,6.0NRT,279.7,34.9,N,3.5999999999999996,3.909716579226788,2.293129613360664
Portugal,37.977,-8.821,303.4,2.4,1.5,2020-02-18,23:10,T,53,6.0NRT,280.1,29.6,N,3.5999999999999996,3.8466559364831787,2.1800089457712106
Romania,45.005,29.524,325.4,1,1,2020-01-25,00:10,A,100,6.0NRT,273.2,29.3,N,1.0,1.8644447243397506,3.4468362304460447
Romania,45.003,29.537,323.5,1,1,2020-01-25,00:10,A,100,6.0NRT,274.1,27.1,N,1.0,1.812634653725871,3.406893354026354
Romania,45.079,29.527,327.6,1,1,2020-01-25,00:10,A,100,6.0NRT,273,31.6,N,1.0,1.9100621341835555,3.5423589230264843
Romania,45.077,29.54,324.7,1,1,2020-01-25,00:10,A,100,6.0NRT,273.3,27.9,N,1.0,1.8494463762853122,3.4080410738630436
North Macedonia,41.444,21.945,319.5,1.5,1.2,2020-01-25,00:10,A,99,6.0NRT,268.9,42.6,N,1.7999999999999998,2.9633295131880786,2.8612214560816183
Bulgaria,43.246,25.338,315.3,1.4,1.2,2020-01-25,09:35,T,76,6.0NRT,286.5,23.6,D,1.68,2.429814720510082,3.4780077305693635
Romania,46.19,26.651,306.2,1.4,1.2,2020-01-25,09:35,T,63,6.0NRT,281.3,15.4,D,1.68,2.5040262037417644,2.543699380251062
Ukraine,46.12,29.109,300.8,1.8,1.3,2020-01-25,09:35,T,42,6.0NRT,281.9,15.8,D,2.3400000000000003,3.291027087979922,2.1309429575905185
Czechia,49.673,18.659,300.1,1.2,1.1,2020-01-25,09:35,T,27,6.0NRT,272.8,10.8,D,1.32,1.9597985676850656,1.7048021690807917
Ukraine,49.103,23.625,302.4,1,1,2020-01-25,09:35,T,52,6.0NRT,276.5,9.2,D,1.0,1.3954912815861638,2.2130064430793066
Ukraine,48.265,30.131,306.2,1.8,1.3,2020-01-25,09:35,T,63,6.0NRT,278.1,23.7,D,2.3400000000000003,3.56722425238459,2.0745707474677495
Ukraine,49.522,23.687,306.9,1,1,2020-01-25,09:35,T,64,6.0NRT,276.2,11.9,D,1.0,1.4867558061606805,2.384091607924291
Ukraine,49.363,26.653,308.3,1.2,1.1,2020-01-25,09:35,T,67,6.0NRT,275.5,16.2,D,1.32,2.1736523501183598,2.273108763338032
North Macedonia,41.594,22.902,312.6,1.1,1.1,2020-01-25,09:35,T,73,6.0NRT,281.8,16.1,D,1.2100000000000002,1.6396046487089158,3.2719729448527763
North Macedonia,41.597,22.889,318.3,1.1,1.1,2020-01-25,09:35,T,78,6.0NRT,283.7,22,D,1.2100000000000002,1.7044209329076494,3.6859757493474126
North Macedonia,41.606,22.891,317.4,1.1,1.1,2020-01-25,09:35,T,70,6.0NRT,284.1,20.2,D,1.2100000000000002,1.6766335176312932,3.6578586186467845
Bulgaria,43.642,26.331,304.6,1.5,1.2,2020-01-25,09:35,T,59,6.0NRT,282.2,14.8,D,1.7999999999999998,2.483840867813862,2.6202129798132803
Romania,44.361,22.586,312.2,1,1,2020-01-25,09:35,T,72,6.0NRT,284.8,13.9,D,1.0,1.1926705755514706,3.432105841411006
Romania,44.465,23.421,301.9,1.1,1,2020-01-25,09:35,T,43,6.0NRT,282.4,8.1,D,1.1,1.2180418541592517,2.7569171630834646
Spain,43.542,-5.824,304,1,1,2020-01-25,11:15,T,50,6.0NRT,284.2,8.1,D,1.0,0.5096193520679189,3.0586456397606328
Spain,43.543,-5.837,302,1,1,2020-01-25,11:15,T,47,6.0NRT,285.4,6.8,D,1.0,0.455307017419468,3.0423876569156
Turkey,38.771,27.472,301.2,1,1,2020-01-25,11:15,A,42,6.0NRT,290.5,4.1,D,1.0,0.77647665696711,3.497862376238662
Turkey,38.692,27.496,302.7,1,1,2020-01-25,11:15,A,53,6.0NRT,289.1,4.6,D,1.0,0.8216147566227996,3.476723099640323
Turkey,38.683,27.498,300.9,1,1,2020-01-25,11:15,A,41,6.0NRT,288.7,3.6,D,1.0,0.8016094563828462,3.3674213766882835
Portugal,41.443,-7.668,302.3,1.1,1.1,2020-01-25,11:15,T,52,6.0NRT,281.4,8.9,D,1.2100000000000002,0.9039206580536254,2.7830348028314504
Cyprus,34.882,32.454,301.1,1.3,1.1,2020-01-25,11:15,A,45,6.0NRT,286.6,7.5,D,1.4300000000000002,1.5210557172719485,3.2500939883311912
Romania,46.154,27.015,312.4,1.1,1,2020-01-25,11:20,A,73,6.0NRT,283.9,14.7,D,1.1,1.4693925783346578,3.240176869145781
